"","track_id","track_name","plays","date_retrieved"
"83","3oGVx9RBmiYGv5ZCecWLkx","Forever Winter (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"84","4IQkfUsrwXol38VV3U7t7T","Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"85","6pYNq0ZwpPVazKzsqpf0G8","The Very First Night (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"86","5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"87","77sMIMlNaSURUAXq5coCxE","Fearless (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"88","2nqio0SfWg6gh2eCtfuMa5","Fifteen (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"89","6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"90","550erGcdD9n6PnwxrvYqZT","Hey Stephen (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"91","5YL553x8sHderRBDlm3NM3","White Horse (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"92","1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"93","7HC7R2D8WjXVcUHJyEGjRs","Breathe (feat. Colbie Caillat) (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"94","0k0vFacOHNuArLWMiH60p7","Tell Me Why (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"95","6iiAfo4wTA2CVC3Uwx9uh8","You’re Not Sorry (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"96","22bPsP2jCgbLUvh82U0Z3M","The Way I Loved You (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"97","1msEuwSBneBKpVCZQcFTsU","Forever & Always (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"98","6ON9UuIq49xXY9GPmHIYRp","The Best Day (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"99","3ExweHKZF9B752DPQByRVT","Change (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"100","2m3ObD945KvpE5y9A1eUWm","Jump Then Fall (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"101","0tQ9vBYpldCuikPsbgOVKA","Untouchable (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"102","01QdEx6kFr78ZejhQtWR5m","Forever & Always (Piano Version) (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"103","1n2wszmJyVkw6FHqyLnQsY","Come In With The Rain (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"104","51A8eKvvZz9uydvIZ7xRSV","Superstar (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"105","1cSFlSBdpT4F5vb1frQ231","The Other Side Of The Door (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"106","2JoJrsEV15OzbijS47lids","Today Was A Fairytale (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"107","4CHpVfAhuxNJ3ibExe6kxO","You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
